Year,Units,Type of expenditure,Area of spending,Observation status,Unit multiplier,Unit measure,Value
2017,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,72.74357133988086
2018,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,70.53447248162131
2000,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.0
2001,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.016916752660159354
2002,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.16844743681957763
2003,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.16768198106199705
2004,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.1668045584349729
2005,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.198631758238666
2006,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.2466006105831118
2007,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.22831385326920978
2008,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.24262500849187532
2009,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.256984765621863
2010,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.7488906062030449
2011,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.7742738812137454
2012,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.8790518797582607
2013,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,0.8891565024638994
2014,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,1.1146062962871226
2015,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,1.44371064352634
2016,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,1.645135198124546
2017,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,1.9230710991184157
2018,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Religious and other community services,Undefined,Units,GBP (£) per capita,1.881521353009531
2000,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,0.0509458089430273
2001,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,0.016916752660159354
2002,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,0.03368948736391553
2003,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,0.08384099053099853
2004,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,0.03336091168699458
2005,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,1.075922023792774
2006,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,1.8084044776094865
2007,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,2.1689816060574927
2008,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,2.490950087183253
2009,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,2.248616699191301
2010,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,2.6609517284235853
2011,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,2.228012596962002
2012,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,2.1348402794129187
2013,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,1.8407099524691253
2014,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,1.997002947514428
2015,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,1.9966211027491936
2016,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,2.8637538634019872
2017,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,3.0738853001656565
2018,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",Undefined,Units,GBP (£) per capita,2.257825623611437
2000,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,18.951840926806156
2001,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-5.481027861891632
2002,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-5.508231184000189
2003,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-5.516737176939703
2004,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-5.9882836478155275
2005,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-5.346504825924093
2006,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-5.770454287644816
2007,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-5.740462596482988
2008,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-5.725950200408257
2009,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-5.910649609302848
2010,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-7.042758466845657
2011,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-8.5170126933512
2012,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-10.344556942155247
2013,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-10.24869863366284
2014,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-11.780769326034726
2015,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-14.268161572723084
2016,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-16.420886514613525
2017,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-11.023588662663045
2018,General government expenditure (GBP (£) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",Undefined,Units,GBP (£) per capita,-11.906267121844312
2000,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,126.29466036976467
2001,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,133.16867694077445
2002,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,153.21978853108783
2003,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,171.8237259942284
2004,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,161.78374122608022
2005,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,321.8000009931588
2006,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,212.99716738098644
2007,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,236.17437307462112
2008,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,238.6783083537408
2009,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,260.02039816577127
2010,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,265.7446283032848
2011,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,246.69313945936722
2012,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,252.85299427046542
2013,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,225.84575162583047
2014,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,251.85458103187776
2015,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,250.05375518353557
2016,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,245.38410098692881
2017,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,246.83450383251414
2018,Central government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,232.3152044987928
2000,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,39.19430901350234
2001,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,42.98546850946492
2002,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,52.37030810720669
2003,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,59.376189494053165
2004,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,55.112226106915045
2005,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,205.48455389789996
2006,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,93.83975234722682
2007,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,111.82486370478367
2008,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,96.98530339448563
2009,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,117.92388432473237
2010,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,119.91810004859822
2011,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,104.03712722267959
2012,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,105.847264735892
2013,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,99.27354353825011
2014,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,118.67460926857058
2015,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,111.81078175395484
2016,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,107.81728641042163
2017,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,108.0553965614883
2018,Central government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,102.85148324091301
2000,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,11.242041840094691
2001,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,12.755231505760156
2002,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,15.530853674765059
2003,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,16.332224955438512
2004,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,18.04825322266407
2005,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,156.20732520819092
2006,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,47.1993568656076
2007,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,56.964306390667836
2008,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,47.92652667742843
2009,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,60.05412741625911
2010,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,55.80031708346943
2011,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,50.817649020069496
2012,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,53.79483557020642
2013,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,52.7722183830767
2014,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,61.2259430807718
2015,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,54.707418215327905
2016,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,52.37013714029804
2017,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,55.2542239423866
2018,Central government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,55.48230165754505
2000,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2001,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.10150051596095613
2002,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.2358264115474087
2003,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.2682911696991953
2004,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.4503723077744268
2005,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.9435008516336634
2006,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.772681913160417
2007,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.1956975885164655
2008,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.2588000090580003
2009,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.4176002441355274
2010,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.22307379759239637
2011,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.15801507779872356
2012,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.21976296993956518
2013,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2014,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2015,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2016,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2017,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2018,Central government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2000,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,4.160574397013896
2001,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,6.800534569384061
2002,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,4.345943869945104
2003,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,3.6051625928329365
2004,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,3.6863807414129015
2005,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,4.6678463186086505
2006,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,3.2551280596970757
2007,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,3.131161416263448
2008,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,3.364400117754004
2009,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,4.545418041936702
2010,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,8.094392084066953
2011,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,4.171598053886302
2012,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,2.6528529942704653
2013,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,2.6986679811623615
2014,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,7.64743764396998
2015,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,7.080325602825987
2016,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,1.8888589311800341
2017,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,0.9691066956187292
2018,Central government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,1.1740693242779474
2000,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,4.670032486444169
2001,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,5.328777087950198
2002,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,6.417847342825907
2003,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,6.472524468993086
2004,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,6.238490485467987
2005,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,7.581112106109085
2006,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,7.956979701481741
2007,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,11.171070677814905
2008,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,9.009475315331636
2009,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.287758691305081
2010,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,10.341063902676089
2011,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.99105792674737
2012,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,7.252178008005651
2013,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.174000127913741
2014,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.0034924330617
2015,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.923360466902166
2016,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,9.017778123053066
2017,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.585679631497179
2018,Central government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.685102565491995
2000,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,4.041700842813499
2001,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,4.97352528208685
2002,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,6.182020931278499
2003,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,6.656974648161283
2004,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,7.639648776321759
2005,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,8.723244715981414
2006,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,8.926942103108647
2007,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,10.469820985630903
2008,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,8.168375285893134
2009,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,8.73748203114334
2010,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,12.428397294433513
2011,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,9.2596835590052
2012,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,10.517227847107762
2013,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,9.671526868905572
2014,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,9.288385802392687
2015,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,11.887574873291353
2016,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,10.251629521646475
2017,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,12.598387043043479
2018,Central government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,7.089572458139912
2000,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,15.079959447136082
2001,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,13.025899548322704
2002,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,19.65781587684471
2003,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,26.04101165892814
2004,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,19.04908057327391
2005,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,27.36152469737624
2006,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,25.728663704171332
2007,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,29.892806645890104
2008,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,28.25772598902041
2009,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,35.88149789995261
2010,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,33.03085588635983
2011,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,30.639123585172495
2012,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,31.41040734636214
2013,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,25.957130177191733
2014,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,32.50935030837441
2015,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,29.212102595607433
2016,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,34.28888269424401
2017,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,30.647999248942313
2018,Central government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,30.4204372354581
2000,Central government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,87.10035135626234
2001,Central government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,90.18320843130952
2002,Central government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,100.84948042388113
2003,Central government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,112.44753650017523
2004,Central government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,106.67151511916518
2005,Central government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,116.31544709525882
2006,Central government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,119.15741503375962
