Year,Units,Series,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2020,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,145.9101593
2004,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,669.908889
2005,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,718.6992354
2006,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,724.3698901
2007,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,764.3136214
2008,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,770.0120894
2009,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,780.7542623
2010,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,792.4653
2011,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,791.775
2012,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,807.73675
2013,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,803.6983813
2014,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,821.7688309
2015,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,813.32763
2016,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,806.3437594
2017,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,840.7053847
2018,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,833.2627674
2019,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,863.5891429
2020,Percentage (%),Woodland area under certification scheme,Scotland,Hectares,Thousands,Undefined,S92000003,859.305755
2004,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.12
2005,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,63.451
2006,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,63.431
2007,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.15642429
2008,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.4388941
2009,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.0595
2010,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.1495
2011,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,63.4555
2012,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.5545
2013,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.68292
2014,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.839
2015,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.121
2016,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.26134
2017,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.34486
2018,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.34474989
2019,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.51241
2020,Percentage (%),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.64980474
2004,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1159.944466
2005,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1257.091068
2006,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1272.510096
2007,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1324.920361
2008,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1309.679633
2009,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1332.049723
2010,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1347.25813
2011,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1324.05313
2012,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1365.55989
2013,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1362.561439
2014,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1376.969998
2015,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1375.485298
2016,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1350.013473
2017,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1388.032838
2018,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1375.559836
2019,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1400.356445
2020,Percentage (%),Woodland area under certification scheme,,Hectares,Thousands,Undefined,,1394.159712
